Data Source in SDW: null
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Refinitiv"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. comment
2022Oct,1.4277,Normal value (A),
2022Sep,1.0109,Normal value (A),
2022Aug,0.3947,Normal value (A),
2022Jul,0.0366,Normal value (A),
2022Jun,-0.2392,Normal value (A),
2022May,-0.3857,Normal value (A),
2022Apr,-0.4479,Normal value (A),
2022Mar,-0.4950,Normal value (A),EU0009652783
2022Feb,-0.5315,Normal value (A),EU0009652783
2022Jan,-0.5601,Normal value (A),EU0009652783
2021Dec,-0.5820,Normal value (A),EU0009652783
2021Nov,-0.5674,Normal value (A),EU0009652783
2021Oct,-0.5498,Normal value (A),EU0009652783
2021Sep,-0.5450,Normal value (A),EU0009652783
2021Aug,-0.5476,Normal value (A),EU0009652783
2021Jul,-0.5448,Normal value (A),EU0009652783
2021Jun,-0.5429,Normal value (A),EU0009652783
2021May,-0.5401,Normal value (A),EU0009652783
2021Apr,-0.5382,Normal value (A),EU0009652783
2021Mar,-0.5391,Normal value (A),EU0009652783
2021Feb,-0.5411,Normal value (A),EU0009652783
2021Jan,-0.5472,Normal value (A),EU0009652783
2020Dec,-0.5381,Normal value (A),EU0009652783
2020Nov,-0.5209,Normal value (A),EU0009652783
2020Oct,-0.5091,Normal value (A),EU0009652783
2020Sep,-0.4914,Normal value (A),EU0009652783
2020Aug,-0.4797,Normal value (A),EU0009652783
2020Jul,-0.4441,Normal value (A),EU0009652783
2020Jun,-0.3760,Normal value (A),EU0009652783
2020May,-0.2720,Normal value (A),EU0009652783
2020Apr,-0.2540,Normal value (A),EU0009652783
2020Mar,-0.4166,Normal value (A),EU0009652783
2020Feb,-0.4088,Normal value (A),
2020Jan,-0.3911,Normal value (A),
2019Dec,-0.3947,Normal value (A),
2019Nov,-0.4013,Normal value (A),
2019Oct,-0.4129,Normal value (A),
2019Sep,-0.4176,Normal value (A),
2019Aug,-0.4077,Normal value (A),
2019Jul,-0.3649,Normal value (A),
2019Jun,-0.3289,Normal value (A),
2019May,-0.3119,Normal value (A),
2019Apr,-0.3105,Normal value (A),
2019Mar,-0.3092,Normal value (A),
2019Feb,-0.3084,Normal value (A),
2019Jan,-0.3080,Normal value (A),
2018Dec,-0.3119,Normal value (A),
2018Nov,-0.3164,Normal value (A),
2018Oct,-0.3177,Normal value (A),
2018Sep,-0.3188,Normal value (A),
2018Aug,-0.3190,Normal value (A),
2018Jul,-0.3207,Normal value (A),
2018Jun,-0.3220,Normal value (A),
2018May,-0.3252,Normal value (A),
2018Apr,-0.3285,Normal value (A),
2018Mar,-0.3279,Normal value (A),
2018Feb,-0.3285,Normal value (A),
2018Jan,-0.3285,Normal value (A),
2017Dec,-0.3279,Normal value (A),
2017Nov,-0.3290,Normal value (A),
2017Oct,-0.3295,Normal value (A),
2017Sep,-0.3294,Normal value (A),
2017Aug,-0.3291,Normal value (A),
2017Jul,-0.3304,Normal value (A),
2017Jun,-0.3300,Normal value (A),
2017May,-0.3295,Normal value (A),
2017Apr,-0.3304,Normal value (A),
2017Mar,-0.3293,Normal value (A),
2017Feb,-0.3286,Normal value (A),
2017Jan,-0.3255,Normal value (A),
2016Dec,-0.3158,Normal value (A),
2016Nov,-0.3127,Normal value (A),
2016Oct,-0.3090,Normal value (A),
2016Sep,-0.3016,Normal value (A),
2016Aug,-0.2982,Normal value (A),
2016Jul,-0.2945,Normal value (A),
2016Jun,-0.2679,Normal value (A),
2016May,-0.2572,Normal value (A),
2016Apr,-0.2492,Normal value (A),
2016Mar,-0.2285,Normal value (A),
2016Feb,-0.1836,Normal value (A),
2016Jan,-0.1461,Normal value (A),
2015Dec,-0.1263,Normal value (A),
2015Nov,-0.0876,Normal value (A),
2015Oct,-0.0536,Normal value (A),
2015Sep,-0.0370,Normal value (A),
2015Aug,-0.0277,Normal value (A),
2015Jul,-0.0187,Normal value (A),
2015Jun,-0.0139,Normal value (A),
2015May,-0.0104,Normal value (A),
2015Apr,0.0047,Normal value (A),
2015Mar,0.0272,Normal value (A),
2015Feb,0.0482,Normal value (A),
2015Jan,0.0627,Normal value (A),
2014Dec,0.0809,Normal value (A),
2014Nov,0.0809,Normal value (A),
2014Oct,0.0826,Normal value (A),
2014Sep,0.0971,Normal value (A),
2014Aug,0.1916,Normal value (A),
2014Jul,0.2050,Normal value (A),
2014Jun,0.2414,Normal value (A),
2014May,0.3246,Normal value (A),
2014Apr,0.3297,Normal value (A),
2014Mar,0.3053,Normal value (A),
2014Feb,0.2881,Normal value (A),
2014Jan,0.2920,Normal value (A),
2013Dec,0.2735,Normal value (A),
2013Nov,0.2234,Normal value (A),
2013Oct,0.2258,Normal value (A),
